OBJECTID,Line_No,Bear_ID,Date,Time,Latitude,Longitude,Elevation__feet_,Temp__Deg_F_,Major_Activity,Video_file,Remarks,
700,1592,Bear 21,"Saturday, September 08, 2012",12:02 AM,61.2106509,-149.6797974,163,66,Unknown,,No video,
701,1610,Bear 21,"Saturday, September 08, 2012",6:01 AM,61.2104765,-149.6798004,162,59,Unknown,,No video,
702,1628,Bear 21,"Saturday, September 08, 2012",12:01 PM,61.2113721,-149.6588545,159,63,Unknown,,No video,
703,1646,Bear 21,"Saturday, September 08, 2012",6:01 PM,61.2173872,-149.6577217,197,66,Unknown,,No video,
704,1700,Bear 21,"Sunday, September 09, 2012",12:02 PM,61.210708,-149.6346187,579,48,Unknown,,No video,
705,1718,Bear 21,"Sunday, September 09, 2012",6:00 PM,61.21809,-149.6343646,290,68,Unknown,,No video,
706,1754,Bear 21,"Monday, September 10, 2012",6:00 AM,61.215697,-149.6469112,231,55,Unknown,,No video,
707,1772,Bear 21,"Monday, September 10, 2012",12:01 PM,61.2099948,-149.6495502,375,57,Unknown,,No video,
708,1790,Bear 21,"Monday, September 10, 2012",6:01 PM,61.2164991,-149.665202,185,70,Unknown,,No video,
709,1808,Bear 21,"Tuesday, September 11, 2012",12:01 AM,61.2200649,-149.65029,162,63,Unknown,,No video,
710,1826,Bear 21,"Tuesday, September 11, 2012",6:03 AM,61.2200186,-149.6504498,183,55,Unknown,,No video,
711,1844,Bear 21,"Tuesday, September 11, 2012",12:01 PM,61.2129325,-149.6404431,406,68,Unknown,,No video,
712,1880,Bear 21,"Wednesday, September 12, 2012",12:02 AM,61.2014318,-149.6751291,179,55,Unknown,,No video,
713,1914,Bear 21,"Friday, September 14, 2012",6:00 AM,61.2076652,-149.6744032,182,63,Unknown,,No video,
